Card Name,Card Typing,Effigy Costs,Casting Cost,Text Box,Strength,Lifespan,Timer,Arrows (Clockwise top center = 1),Set,Effigy type,Rarity,Watch
Cursed Cutlass,"Relic, Armament, Token",2 Bleeding,2,"Animated
 Being gains +1/+1",XXX,XXX,XXX,2,,Bleeding,,
Vassal ,"Being, Token",2 Formless,2,"""Demons only exist in Fairy Tales not a world of Scieince and Steel!!"" - The skeptics last words ",2,2,XXX,"1,7",,Formless,,
Scā-vuhk Hunger,"Being, Hunger, Token",2 Formless,2,"Shift (1): ""At the end of your turn remove (1) Time Counter from this""
When this moves into the Mortal Realm, sacrifice this and create (2) Scā-vuhk Hunger tokens.",0,3,XXX,1,,Formless,,
Blooming Vine ,"Being, Vine, Token",1 Living,1,Engage: Add (1) Living Essence,0,3,XXX,1,,Living,,
Vine ,"Being, Vine, Token",1 Living,1,,0,2,XXX,1,,Living,,
Blooming Life,"Prophecy, Token",0,0,"Gain (3) Time Counters
Beings you control have +1/+1",XXX,XXX,3,XXX,,Living,,
Withering Life,"Prophecy, Token",0,,"Gain (3) Time Counters
Beings you don't control have -1/-1",XXX,XXX,3,XXX,,Living,,
Bag o' Bones,"Relic, Token",1 Shifting,1,Martyr,XXX,XXX,XXX,XXX,,Shifting,,
Shifting Sands,"Relic, Token",1 Shifting,1,"When summoned gain (2) Crossing Counters. 
Engage: Remove (1) Crossing Counter, then move target Being you control to this tile. 
Beings may move across Shfting Sands.",XXX,XXX,XXX,XXX,,Shifting,,
Favor Counter,Token,1 Shifting,1,The next time this Being would take damage remove this Favor Counter instead,XXX,XXX,XXX,XXX,,Shifting,,
AfterImage,"Being, Temporal, Token",1 Timeless,1,"When this Being has (0) Time Counters on it, sacrifice it.",0,3,XXX,XXX,,Timeless,,
Rat,"Being, Rat, Familiar, Token",1 Living,1,,1,1,XXX,1,,Living,,
